Census_ID,Name,Population,Pop. Density,Type
3001000240113000,Aldona,6588,81940.29851,Urban V
3002000240208000,Aquem,4987,286609.1954,Urban VI
3001000340122000,Bambolim,5785,75719.89529,Urban V
3001000640124000,Bandora,12267,100057.0962,Urban IV
3002000240205000,Benaulim,10158,99783.88998,Urban IV
3001000440114000,Bicholim,14913,102635.9257,Urban IV
3001000240108000,Calangute,15783,134667.2355,Urban IV
3001000340121000,Calapor,11830,120468.4318,Urban IV
3002000540217000,Canacona (Urban),11901,63675.76244,Urban IV
3001000240109000,Candolim,8604,123620.6897,Urban V
3001000440115000,Carapur,5339,61865.58517,Urban V
3002000140202000,Chicalim,7604,62430.21346,Urban V
3001000340119000,Chimbel,11984,365365.8537,Urban IV
3002000240215000,Chinchinim,7033,76197.1831,Urban V
3001000240104000,Colvale,5475,51072.76119,Urban V
3002000240216000,Cuncolim,15860,55280.58557,Urban IV
3002000340212000,Curchorem Cacora,21407,94931.26386,Urban III
3001000640127000,Curti,13179,170271.3178,Urban IV
3002000240209000,Davorlim,10929,336276.9231,Urban IV
3001000340123000,Goa Velha,5395,53257.65054,Urban V
3001000240106000,Guirim,6372,158114.1439,Urban V
3001000240105000,Mapusa,40487,357659.0106,Urban III
3002000240204000,Margao,78382,520810.6312,Urban II
3002000140201000,Mormugao,97154,354965.2905,Urban II
3002000240207000,Navelim (Urban),11014,209790.4762,Urban IV
3001000440118000,Pale (Urban),5641,41661.74298,Urban V
3001000340120000,Panaji,70078,126153.0153,Urban II
3001000140102000,Parcem,4324,41417.62452,Urban VI
3001000240111000,Penha de Franca,15377,283708.4871,Urban IV
3001000140101000,Pernem (Urban),5289,209880.9524,Urban V
3001000640126000,Ponda,17713,339329.5019,Urban IV
3002000340214000,Quepem,12573,88917.96322,Urban IV
3001000640125000,Queula,5456,101601.4898,Urban V
3001000240110000,Reis Magos,8708,114428.3837,Urban V
3001000240107000,Saligao,5559,94863.48123,Urban V
